id;report_by_enc_id;reported_against_enc_id;report_date;report_data;report_status
1;0afa5d56-5dfa-4bcd-8b00-dab044062c08;621090d6-be1d-45a3-84f7-f40360eaafba;2025-02-14T06:36:34;starboard serve;COMPLETED
2;5823297b-e4cb-4dc9-8123-39131e835e7b;ad4ff59b-427a-4346-b7a2-0044038e68ec;2025-02-14T15:41:50;greatly ugh;NEW
3;6d3794c8-df52-43ba-aaeb-791f4c1b7f24;8865d18a-9c66-4734-998c-e58cb34eef79;2025-02-14T00:44:27;bogus;UNDER_PROCESS
4;9293f058-52e0-4a21-88be-deda35ae390c;7f5becb4-2734-4fc2-9932-f35517cff1ff;2025-02-13T21:25:37;absent meh;NEW
5;cf0cedce-3509-4e52-a575-d3483abe5887;267b2a01-4d31-4874-b776-cc0d232a589d;2025-02-14T03:04:02;pish;COMPLETED
6;6d00260f-8161-498a-9882-a08bebf46be5;f72bfa9e-e14b-4ba1-a62e-beb51cbc6aaf;2025-02-13T22:54:49;generally;COMPLETED
7;c9cb41b4-9b17-40b8-8db0-cfe866b6a6d4;3143308c-99c7-4978-81af-5a2d127b5515;2025-02-14T08:08:40;anesthetize;NEW
8;7c39eb49-2506-4f60-ac3b-0c4b91cfd699;0f78e130-3d95-4555-aca8-bf78e694f9e8;2025-02-14T04:44:29;vista gah scheme;NEW
9;23fe77af-2d2a-4b13-ad9a-83ccdfbf4156;fead2957-c5e1-4456-b171-578f865afb38;2025-02-14T11:04:40;till boiling softly;NEW
10;f42541e5-1ecf-45a2-ba4a-b3eb9a0d824c;aee6d7d7-bafa-4d3a-8352-f022f6ae1b27;2025-02-14T18:02:17;furthermore going;UNDER_PROCESS
