id;created_date;action_by_enc_id;entity_type;entity_enc_id
1;2025-02-14T09:08:39;c1220240-2480-4fa8-b85e-77762ae89188;9361;cb95cd5c-7e8c-45f5-acbc-96aa5819d4c7
2;2025-02-14T17:45:10;8ef4a643-7ae1-4606-b9a0-64cdabd4c3ab;29702;cd324c59-15f5-471b-b3bf-d344c6017c18
3;2025-02-14T18:53:18;9b6dc756-0649-40e5-8352-2609c4ced011;17342;97134801-5ce5-4d77-9857-6b1ba03c18c9
4;2025-02-14T07:47:30;c249953a-23ab-4304-b1a4-6e45678e0c77;8017;54e0a958-3e4d-4f79-923e-08b797cbc94f
5;2025-02-14T01:43:56;ecba22c9-3caf-4e7e-a92f-4e6780180100;30645;7dc7b08a-7029-4f16-87f4-7f267c7a0eda
6;2025-02-14T15:04:48;6d7bf4f3-daa5-4cf0-a002-5382ff14751d;4057;e2df0128-00aa-45ba-843b-31f2938f0c89
7;2025-02-14T03:45:09;cd6d4c4f-ebe5-4be8-9f07-f287913477e6;11748;118d4c11-c230-4d8f-aef0-401d025cfc80
8;2025-02-13T22:02:47;5b481a1a-1452-4112-b69d-f98625b1d172;960;03e1d518-1c6d-4493-a385-e728cdcfdc87
9;2025-02-14T09:18:05;ee86a7b5-67a3-47eb-a559-3be29d110c8b;13468;04d76687-cfdd-4c1a-9a5a-c9373ca7ab8e
10;2025-02-14T20:44:19;047c9e74-9153-41b8-a4fc-ad4f9c4d7a00;7123;9e8a8450-2d74-43cb-9acf-533d40d00c4f
