id;from_date;to_date;is_active;subscribed_user_enc_id
1;2025-02-14T07:41:28;2025-02-14T00:16:36;true;8c3d374e-f361-4935-b75f-ef7ee09e3322
2;2025-02-14T01:11:22;2025-02-13T22:53:45;false;f51f72cc-b547-485f-ae55-9f3000bce2a6
3;2025-02-14T20:31:22;2025-02-14T09:54:56;true;22d4b58c-faac-4644-bde9-f3f88b33f97c
4;2025-02-14T19:57:46;2025-02-14T19:44:54;true;d669b5ab-2bf8-4787-ac1e-32d5bbbb7677
5;2025-02-14T12:49:09;2025-02-14T20:56:35;true;631c448c-970f-45ad-835e-0503b8996666
6;2025-02-14T14:10:14;2025-02-14T01:21:46;true;264cd16e-43b3-4612-ba3e-564f183be3bb
7;2025-02-14T01:31:56;2025-02-14T09:11:20;false;2248b992-6626-49bc-99bd-2e6b4080b9d2
8;2025-02-14T16:51:56;2025-02-14T07:49:27;true;abedfd6c-746d-4236-9a1c-0db0241cde46
9;2025-02-14T08:06:37;2025-02-14T02:20:27;true;b769e22c-339b-4dbc-b6be-e942aee8dc37
10;2025-02-13T22:50:33;2025-02-14T18:28:33;false;011ffada-6d42-484c-b878-f57737ef232b
